,brand,model,price
0,Salomon," 
XT-6 Advanced Sneaker in White
","<span class=""price--default is--nowrap"">
€175.00
</span>"
1,Hoka One One," 
M Clifton 8 Sneaker in White
","<span class=""price--default is--nowrap"">
€140.00
</span>"
2,Nike," 
WMNS Air Force 1 Sculpt in White & Silver
","<span class=""price--default is--nowrap"">
€120.00
</span>"
3,Nike," 
WMNS Air Force 1 Sculpt in White & Red
","<span class=""price--default is--nowrap"">
€120.00
</span>"
4,Adidas," 
x Craig Green Scuba Phormar Sneaker in Green
","<span class=""price--default is--nowrap"">
€250.00
</span>"
5,Nike," 
Be-do-win SP Sneaker in Black
","<span class=""price--default is--nowrap"">
€130.00
</span>"
6,New Balance," 
990 v4 'Made in USA' Sneaker in Grey
","<span class=""price--default is--nowrap"">
€250.00
</span>"
7,New Balance," 
M 990 v3 'Made in USA' Sneaker in Grey
","<span class=""price--default is--nowrap"">
€220.00
</span>"
8,New Balance," 
M 991 'Made in UK' Sneaker in Silver & Grey
","<span class=""price--default is--nowrap"">
€190.00
</span>"
9,New Balance," 
W 991 'Made in UK' Sneaker in Grey
","<span class=""price--default is--nowrap"">
€190.00
</span>"
10,New Balance," 
M 920 'Made in UK' Sneaker in Navy & Burgundy
","<span class=""price--default is--nowrap"">
€220.00
</span>"
11,Acne Studios," 
N3W Trail Sneaker in Matte Black
","<span class=""price--default is--nowrap"">
€340.00
</span>"
12,Acne Studios," 
N3W Trail Sneaker in Black
","<span class=""price--default is--nowrap"">
€340.00
</span>"
13,Acne Studios," 
Mens Bolzter Bryz Crystal Sneaker
","<span class=""price--default is--nowrap"">
€420.00
</span>"
14,Acne Studios," 
Womens Bolzter Bryz Crystal Sneaker
","<span class=""price--default is--nowrap"">
€420.00
</span>"
15,Acne Studios," 
Womens N3W Trail Sneaker in White
","<span class=""price--default is--nowrap"">
€340.00
</span>"
16,Nike," 
x Undercover Dunk High '1985' Sneaker in Gym Red
","<span class=""price--default is--nowrap"">
€150.00
</span>"
17,Nike," 
x PEACEMINUSONE Kwondo 1 Sneaker in White (RAFFLE)
",
18,New Balance," 
M990 v5 'Made in USA' Sneaker in Navy
","<span class=""price--default is--nowrap"">
€220.00
</span>"
19,New Balance," 
M990 v5 'Made in USA' Sneaker in Black
","<span class=""price--default is--nowrap"">
€220.00
</span>"
20,New Balance," 
M990 v5 'Made in USA' Sneaker in Grey
","<span class=""price--default is--nowrap"">
€220.00
</span>"
21,Converse," 
Chuck 70 Hi Sneaker in Black
","<span class=""price--default is--nowrap"">
€90.00
</span>"
22,Converse," 
Run Star Motion Hi Sneaker in Black
","<span class=""price--default is--nowrap"">
€120.00
</span>"
23,Converse," 
Run Star Motion Hi Sneaker in Light Twine
","<span class=""price--default is--nowrap"">
€120.00
</span>"
24,Salomon," 
ACS PRO Advanced Sneaker in Metal & Frost Gray
",
25,Nike," 
WMNS Lahar Low Sneaker in Black
","<span class=""price--default is--nowrap"">
€130.00
</span>"
26,Nike," 
x sacai x KAWS Blazer Low Sneaker in Purple Dusk
","<span class=""price--default is--nowrap"">
€140.00
</span>"
27,Nike," 
x sacai x KAWS Blazer Low Sneaker in Neptune Blue
",
28,New Balance," 
990 v3 'Made in USA' Sneaker in Navy
",
29,New Balance," 
990 v3 'Made in USA' Sneaker in Grey
",
30,New Balance," 
990 v2 'Made in USA' Sneaker in Grey & Green
","<span class=""price--default is--nowrap"">
€220.00
</span>"
31,On," 
Men's Cloudventure Sneaker in Cobble
","<span class=""price--default is--nowrap"">
€160.00
</span>"
32,On," 
Women's Cloudrock Edge Raw Sneaker in White
","<span class=""price--default is--nowrap"">
€240.00
</span>"
33,On," 
Men's Cloudventure Waterproof Sneaker in Black
","<span class=""price--default is--nowrap"">
€180.00
</span>"
34,On," 
Men's Cloudventure Sneaker in Black & Reseda
","<span class=""price--default is--nowrap"">
€160.00
</span>"
35,On," 
Women's Cloudventure Waterproof Sneaker in Black
","<span class=""price--default is--nowrap"">
€180.00
</span>"
36,On," 
Women's Cloudventure Sneaker in Black & Cobble
","<span class=""price--default is--nowrap"">
€160.00
</span>"
37,On," 
Women's Cloudventure Sneaker in Arctic
","<span class=""price--default is--nowrap"">
€160.00
</span>"
38,Mizuno," 
x Hajime Sorayama Wave Prophecy Sneaker in Black
",
39,Nike," 
x Sacai x Undercover LDWaffle Sneaker in Night...
",
40,Nike," 
x Sacai x Undercover LDWaffle Sneaker in Black...
",
41,Nike," 
Air Force 1 Sneaker in Summit White
",
42,Nike," 
Air Force 1 Sneaker in Off Noir
",
43,Nike," 
WMNS Air Force 1 '07 Sneaker in White
","<span class=""price--default is--nowrap"">
€110.00
</span>"
44,Nike," 
Air Force 1 Sneaker in White
",
45,Nike," 
Air Force 1 '07 Craft Sneaker in Sail & Beetroot
","<span class=""price--default is--nowrap"">
€120.00
</span>"
46,New Balance," 
M 991 'Made in UK' Sneaker in Olive Green
",
47,Nike," 
WMNS Dunk Disrupt Low Sneaker in Summit White
",
